Label,Content
Against,"Private markets are better
suited to invest in space
exploration What better way to
colonise space than to leave it to
the private market to develop the
space tourism market to include
space hotels and moon bases?
The success of the $10m X Prize
at attracting interest and private
investment in private space
programmes has shown that
there is no need for the state to
be involved in space travel on the
non---science side. Given suitable
international safety standards (as
were agreed on air travel in the
inter---war period) it would
transfer the investment and risk
away from the taxpayer as well as producing the sort of space travel
that would really inspire the
human race – the sort that tens of
thousands of people would
actually get a chance to take part
in."
Against,"Space funding would be better spent helping people on earth Dennis Kucinich, responding to president Bush's 2004 space initiatives, said: ""I also want to explore planet Earth and planet D.C.""[1]"
Against,"The costs of pushing the boundaries in space are too high. Even with a budget of $16.5bn for 2006, NASA expects it will take more than a decade to return to the moon and has no date for Mars. The cost of really pushing the boundaries of human exploration is too high even for the big---spending Bush administration, so surely we need to examine the scientific and technological returns of the space programme as it really is rather than how it appears in Star Trek"
Against,"Going into space to discover the effects of space on humans is circular logic. The argument that humans need to be in space in order to find out the effects of being in space should be treated with caution; it is essentially a circular argument as with no manned missions, there would be no need to find out the impact of space on humans."
Against,Few missions to space have produced notable scientific results. There are few experiments so important that they can justify the huge cost needed to allow them to be carried out by humans in zero gravity. NASA made a lot of noise about growing zero---gravity protein crystals as a potential cure for cancer when it was trying to justify building the ISS but has since dropped the claims as experiments have shown the claims were overstated.
Against,"The scientific benefits of manned space programmes are severely overstated; NASA spends over a third of its budget simply keeping the ISS manned and the Space Shuttle working. The vast majority of its spending on scientific research comes through ground based research, telescopes and unmanned missions. China has made no claims that there is a scientific benefit to its manned mission and nor has Russia in recent years."
Against,"There is sufficient room for exploration on earth; space is excessive. Rather than probing Mars for life, we should be looking to the 95% of the world’s oceans that have yet to be explored and where we are constantly finding new forms of life and new scientific discoveries. For example, bacteria have been found which survive not by using sunlight as an energy source, but volcanic vents on the ocean floor – a discovery which made scientists looking for life on Mars totally change their approach. And with individuals constantly in the news for attempts to traverse the globe in rowing boats, hot air balloons and tied to gliders, there are clearly enough ‘boundaries’ on this planet to keep even our keenest explorers happy."
Against,"Space exploration is a waste of resources. If we wish to tackle the problems of overpopulation, or of the depletion of resources, we must deal with them on the Earth instead of chasing an elusive dream. There are practical ways in which we can deal with the problems of our planet, and we must pursue them with all the resources and all the political will we have available"
Against,"These spin-off advantages could come from any ‘blue-sky’ project - they are a result of the huge amounts of money and manpower devoted to the space programme, giving people the resources they need to solve problems, rather than a result of the programme itself. For example, many of the leaps forward in miniaturisation were in fact the result of trying to build better nuclear missiles; this is not a good reason to continue building nuclear weapons. It would be far better to devote similar resources to projects with worthier goals – for example cancer research, or research into renewable energy sources. These too could have many spinoff benefits, but would tackle real problems."
Against,"Satellite technology has of course had a beneficial effect on our world. However, there is a huge difference between launching satellites into Earth orbit, and exploring space. Missions to other planets, and into interstellar space, do not contribute to life on our planet. Moreover, satellites are largely commercial - they are launched by private companies, and are maintained by the profits which they lead to. True space exploration could never be commercial, and requires huge government subsidies - the Voyager missions alone cost just under $1 billion. This money could be much better spent elsewhere."
Against,"High ideals are all well and good, but not when they come at the expense of the present. Our world is marred by war, famine, and poverty; billions of people are struggling simply to live from day to day. Our dreams of exploring space are a luxury they cannot afford. Instead of wasting our time and effort on macho prestige projects such as the space programme, we must set ourselves new targets. Once we have addressed the problems we face on Earth, we will have all the time we want to explore the universe; but not before then. The money spent on probes to distant planets would be better invested in the people of our own planet. A world free from disease, a world where no-one lives in hunger, would be a truly great achievement."
